Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
0,3,1,-0.583432077568156,1,0,-0.8205524467753037,False,True
1,1,0,0.7426852211900761,1,0,2.0316232164746784,False,False
1,3,0,-0.251902752878598,0,0,-0.7875775669667634,False,True
1,1,0,0.49403822767290756,1,0,1.4192967965159125,False,True
0,3,1,0.49403822767290756,0,0,-0.7814711077429596,False,True
0,3,1,-0.08613809053381898,0,0,-0.7615249693343271,True,False
0,1,1,2.068802519948308,0,0,1.358842850200255,False,True
0,3,1,-2.1996375354297513,3,1,-0.14517805662260883,False,True
1,3,0,-0.16902042170620848,0,2,-0.6308467419449268,False,True
1,2,0,-1.246490726947272,1,0,0.2942818304613414,False,False
1,3,0,-2.0753140386711673,1,1,-0.35890412945574013,False,True
1,1,0,2.110243685534503,0,0,0.12228485737999555,False,True
0,3,1,-0.749196739912935,0,0,-0.7814711077429596,False,True
0,3,1,0.8255675523624656,1,5,0.35310901603977723,False,True
0,3,0,-1.246490726947272,0,0,-0.7910362654711259,False,True
1,2,0,2.110243685534503,0,0,-0.3931003011090411,False,True
0,3,1,-2.1996375354297513,4,1,0.24807791739035276,True,False
1,2,1,-0.08613809053381898,0,0,-0.5396553224803311,False,True
0,3,0,0.16250890298334955,1,0,-0.29539695352818107,False,True
1,3,0,-0.08613809053381898,0,0,-0.8217737386200645,False,False
0,2,1,0.49403822767290756,0,0,0.095416436795259,False,True
1,2,1,0.4111558965005181,0,0,-0.5396553224803311,False,True
1,3,0,-1.1636083957748826,0,0,-0.7824872225578007,True,False
1,1,1,-0.08613809053381898,0,0,0.559507337804344,False,True
0,3,0,-1.743784713981609,3,1,-0.14517805662260883,False,True
1,3,0,0.7426852211900761,1,5,0.35860482934120064,False,True
0,3,1,-0.08613809053381898,0,0,-0.8217737386200645,False,False
0,1,1,-0.8320790710853245,3,2,2.0316232164746784,False,True
1,3,0,-0.08613809053381898,0,0,-0.7898149736263651,True,False
0,3,1,-0.08613809053381898,0,0,-0.7890040358414439,False,True
0,1,1,0.9084498835348551,0,0,0.17948039705383098,False,False
1,1,0,-0.08613809053381898,1,0,2.0316232164746784,False,False
1,3,0,-0.08613809053381898,0,0,-0.7961266098800887,True,False
0,2,1,2.110243685534503,0,0,-0.6617845069564061,False,True
0,1,1,-0.08613809053381898,1,0,2.0316232164746784,False,False
0,1,1,1.0742145458796342,1,0,1.3655599553464393,False,True
1,3,1,-0.08613809053381898,0,0,-0.8215685615901447,False,False
0,3,1,-0.6663144087405455,0,0,-0.7814711077429596,False,True
0,3,0,-0.9149614022577139,2,0,-0.29539695352818107,False,True
1,3,0,-1.246490726947272,1,0,-0.6255512205060442,False,False
0,3,0,0.9084498835348551,1,0,-0.7118574725915969,False,True
0,2,0,-0.16902042170620848,1,0,-0.14884193215689104,False,True
0,3,1,-0.08613809053381898,0,0,-0.7890040358414439,False,False
1,2,0,-2.158196369843557,1,2,0.8564864331111262,False,False
1,3,0,-0.8320790710853245,0,0,-0.7898149736263651,True,False
0,3,1,-0.08613809053381898,0,0,-0.7814711077429596,False,True
0,3,1,-0.08613809053381898,1,0,-0.4175261380042561,True,False
1,3,0,-0.08613809053381898,0,0,-0.7961266098800887,True,False
0,3,1,-0.08613809053381898,2,0,-0.1156618753184309,False,False
0,3,0,-0.9149614022577139,1,0,-0.30516728828626705,False,True
0,3,1,-1.8266670451539986,4,1,0.7640737218017697,False,True
0,3,1,-0.6663144087405455,0,0,-0.7936840261905671,False,True
1,1,0,1.6543908640863607,1,0,2.0316232164746784,False,False
1,2,0,-0.00325575936142946,1,0,0.095416436795259,False,True
0,1,1,2.110243685534503,0,1,1.8530605784358982,False,False
1,1,1,-0.08613809053381898,0,0,0.559507337804344,False,True
1,2,0,-0.6663144087405455,0,0,-0.6617845069564061,False,True
0,3,1,-0.04469692494762421,0,0,-0.8215685615901447,False,False
1,2,0,-1.9924317074987774,1,2,0.18090686592851152,False,True
0,3,1,-1.4951377204644405,5,2,1.1164164190152461,False,True
0,3,1,-0.583432077568156,0,0,-0.8215685615901447,False,False
1,1,0,0.7426852211900761,0,0,2.0316232164746784,False,True
0,1,1,1.3228615393968026,1,0,2.0316232164746784,False,True
0,3,1,-2.0753140386711673,3,2,0.18823461699707594,False,True
0,1,1,-0.08613809053381898,0,0,0.17948039705383098,False,False
1,3,1,-0.08613809053381898,1,1,-0.42994423348178346,False,False
1,2,0,-0.00325575936142946,0,0,-0.6617845069564061,False,True
0,3,1,-0.8320790710853245,0,0,-0.7761804714714561,False,True
1,3,0,-0.9978437334301035,4,2,-0.7875775669667634,False,True
0,3,1,-0.251902752878598,2,0,-0.7515494575463213,False,True
0,2,1,0.24539123415573905,0,0,-0.6617845069564061,False,True
0,3,0,-1.080726064602493,5,2,1.1164164190152461,False,True
0,2,1,-0.6663144087405455,0,0,2.0316232164746784,False,True
0,3,1,-0.251902752878598,1,0,-0.4686152184542878,False,False
1,3,1,0.24539123415573905,0,0,1.5851873103734548,False,True
0,3,1,-0.33478508405098745,0,0,-0.8010117772591315,False,True
0,3,1,-0.08613809053381898,0,0,-0.7890040358414439,False,True
0,3,1,-0.08613809053381898,0,0,-0.7814711077429596,False,True
1,2,1,-2.1996375354297513,0,2,0.24197145816654902,False,True
1,3,0,0.07962657181096004,0,0,-0.5653024512203069,False,True
0,3,1,-0.583432077568156,0,0,-0.7350620176420511,False,True
1,3,1,-0.00325575936142946,0,0,-0.7106361807468361,False,True
1,3,0,-0.08613809053381898,0,0,-0.7942946721129477,True,False
0,1,1,-0.08613809053381898,0,0,1.1261867537733323,False,True
1,2,0,-0.9978437334301035,0,0,-0.6617845069564061,False,True
1,3,0,0.32827356532812857,3,0,-0.40042805217760563,False,True
0,3,1,-1.080726064602493,1,3,0.5045492047901103,False,True
0,3,1,-0.08613809053381898,0,0,-0.7814711077429596,False,True
1,1,0,-0.5005497463957665,3,2,2.0316232164746784,False,True
0,3,1,-0.41766741522337697,0,0,-0.7814711077429596,False,True
0,3,1,-0.00325575936142946,0,0,-0.7814711077429596,False,True
0,3,1,-0.749196739912935,0,0,-0.7910362654711259,False,True
0,1,1,1.4057438705691923,1,0,1.8137740623736347,False,True
0,3,1,-0.251902752878598,1,2,-0.16960389351782384,False,True
0,3,1,2.110243685534503,0,0,-0.8205524467753037,False,True
0,3,1,-0.08613809053381898,0,0,-0.7814711077429596,False,True
0,1,1,2.110243685534503,0,0,0.5181885921123985,False,False
1,1,1,-0.5005497463957665,0,1,1.9204319217602805,False,False
1,2,0,0.4111558965005181,0,1,-0.05113858457603102,False,True
0,2,1,0.4111558965005181,1,0,0.095416436795259,False,True
0,3,0,-0.08613809053381898,0,0,-0.7890040358414439,False,True
0,3,1,-0.08613809053381898,0,0,-0.7890040358414439,False,True
0,1,1,-0.6663144087405455,0,1,2.0316232164746784,False,True
0,3,1,0.32827356532812857,0,0,-0.7519549264387819,False,True
0,3,1,0.6598028900176867,2,0,-0.7875775669667634,False,True
0,3,1,-0.08613809053381898,0,0,-0.7890040358414439,False,True
1,3,0,-0.6663144087405455,0,0,-0.8010117772591315,False,True
1,3,1,-0.08613809053381898,0,0,-0.7949053180353278,False,True
0,3,1,0.7426852211900761,0,0,-0.7890040358414439,False,True
1,3,0,-0.08613809053381898,1,0,0.005040840282963416,True,False
0,1,1,1.4886262017415817,0,0,1.3655599553464393,False,True
0,3,0,-1.2050495613610772,1,0,-0.4686152184542878,False,False
0,3,1,-0.583432077568156,0,0,-0.7814711077429596,False,True
0,3,0,-0.749196739912935,1,0,-0.6947593867649464,False,True
0,3,0,-0.9978437334301035,0,0,-0.46841492659174705,False,False
0,3,1,-0.6663144087405455,0,0,-0.7875775669667634,False,True
0,3,1,2.110243685534503,0,0,-0.7961266098800887,True,False
0,2,1,-0.00325575936142946,1,0,-0.14884193215689104,False,True
0,1,1,-0.41766741522337697,0,1,2.0316232164746784,False,False
0,3,0,-2.1996375354297513,4,2,0.35310901603977723,False,True
0,2,1,-0.6663144087405455,2,0,2.0316232164746784,False,True
0,3,1,-0.08613809053381898,0,0,-0.7814711077429596,False,True
0,2,1,0.28683239974193386,1,0,0.2942818304613414,False,False
1,2,0,0.28683239974193386,0,0,-0.5396553224803311,False,True
0,1,1,2.068802519948308,0,1,2.0316232164746784,False,True
1,3,1,-1.412255389292051,1,0,-0.6255512205060442,False,False
0,3,1,-0.08613809053381898,0,0,-0.7961266098800887,True,False
1,3,1,-0.41766741522337697,0,0,-0.8258430830468072,False,True
1,3,0,-0.08613809053381898,1,1,-0.08248670364734996,False,False
0,3,1,1.3228615393968026,0,0,-0.833986657067672,False,True
0,3,1,0.32827356532812857,0,0,-0.7890040358414439,False,False
0,3,1,-0.749196739912935,0,0,-0.8303227815333897,False,True
0,3,0,1.4886262017415817,1,0,-0.4663778117946861,False,True
1,2,0,-0.00325575936142946,1,0,0.095416436795259,False,True
0,2,1,-0.33478508405098745,0,0,-0.5396553224803311,False,True
0,2,1,-0.5005497463957665,0,0,-0.43971456823986943,False,False
1,1,0,-0.8320790710853245,0,2,0.10925611598008785,False,True
0,1,1,0.6598028900176867,1,0,1.4192967965159125,False,True
0,3,1,-1.080726064602493,0,0,-0.724475859931665,False,True
0,1,1,-0.41766741522337697,0,0,2.0316232164746784,False,False
0,3,0,-0.08613809053381898,0,2,-0.42994423348178346,False,False
1,3,0,-0.583432077568156,0,0,-0.7961266098800887,False,True
1,3,0,-0.41766741522337697,1,0,-0.40042805217760563,False,True
0,3,1,-0.8320790710853245,0,0,-0.8449782836705186,True,False
0,2,1,-0.9149614022577139,0,0,-0.6129328331659761,False,True
0,2,1,-0.8320790710853245,1,1,0.6205719300423815,False,True
1,3,1,-0.16902042170620848,0,0,-0.793889203220487,False,True
0,3,0,-1.6609023828092195,2,2,0.5045492047901103,False,True
0,2,1,0.6183617244314918,0,2,0.095416436795259,False,True
0,2,1,1.0742145458796342,0,0,-0.5396553224803311,False,True
0,2,1,1.8201555264311395,0,0,-0.5628598675307853,False,True
1,1,0,-0.583432077568156,1,0,2.0316232164746784,False,True
0,3,1,2.110243685534503,0,0,-0.7814711077429596,False,True
0,3,1,0.9498910491210498,0,2,-0.4663778117946861,False,True
0,3,1,-0.08613809053381898,0,0,-0.8174992171634018,False,True
0,1,1,1.8201555264311395,0,1,1.8237495741616405,False,False
1,3,0,-1.080726064602493,0,0,-0.7969424328323889,True,False
0,3,1,0.07962657181096004,0,0,-0.7814711077429596,False,True
0,3,1,-0.08613809053381898,0,0,-0.7515494575463213,False,True
0,3,1,-0.08613809053381898,8,2,2.0316232164746784,False,True
0,3,1,1.2399792082244132,0,1,-0.388215133729998,False,True
1,2,0,0.9084498835348551,0,0,-0.4053132195566486,False,True
0,3,1,-0.251902752878598,0,0,-0.7949053180353278,False,True
0,3,1,-0.9978437334301035,0,0,-0.7515494575463213,False,True
0,3,1,-2.1996375354297513,4,1,0.7640737218017697,False,True
1,3,1,-1.6609023828092195,0,2,-0.17204647720734537,False,True
1,1,0,-0.08613809053381898,0,1,1.5121149767177293,False,True
0,3,0,1.3228615393968026,1,4,0.18823461699707594,False,True
0,1,1,-0.08613809053381898,0,0,0.09175256126097679,False,True
0,3,1,-0.08613809053381898,0,0,1.5851873103734548,False,True
0,1,1,2.110243685534503,0,0,0.46180399022348406,False,True
0,3,1,-2.0753140386711673,4,1,0.24807791739035276,True,False
1,3,0,-2.1996375354297513,1,1,-0.6308467419449268,False,True
0,3,1,-0.6663144087405455,0,0,-0.7875775669667634,False,True
0,1,1,2.110243685534503,0,0,0.32481412658036013,False,False
0,3,1,-0.9149614022577139,1,1,-0.7910362654711259,False,True
0,3,1,-0.08613809053381898,3,1,0.06936383916282265,False,True
0,1,0,1.7372731952587501,0,0,0.2279266019518003,False,False
0,2,1,0.07962657181096004,0,0,-0.5396553224803311,False,True
0,3,1,0.5769205588452971,0,0,-1.1747270817559212,False,True
0,3,0,-0.08613809053381898,8,2,2.0316232164746784,False,True
0,2,1,-0.08613809053381898,0,0,-0.4395093912099496,False,False
0,3,1,-1.6609023828092195,4,2,0.35860482934120064,False,True
1,2,1,-2.1996375354297513,2,1,0.7304881960708491,False,True
1,3,0,-2.0753140386711673,0,2,-0.09876896652170035,False,True
0,1,1,-0.08613809053381898,0,0,1.2678566077655793,False,True
1,3,0,-0.08613809053381898,1,0,-0.4175261380042561,True,False
1,1,1,1.3228615393968026,0,0,0.12228485737999555,False,True
0,3,1,0.9084498835348551,1,1,-0.4175261380042561,True,False
0,3,1,0.5769205588452971,0,0,-0.7890040358414439,False,True
1,2,0,0.24539123415573905,0,0,-0.5396553224803311,False,True
0,2,1,-0.8320790710853245,0,0,-0.5396553224803311,False,True
1,3,0,-0.8320790710853245,1,0,-0.7910362654711259,False,True
1,2,1,-2.158196369843557,1,1,0.095416436795259,False,True
1,1,0,1.2399792082244132,0,0,0.17948039705383098,False,False
1,1,0,2.110243685534503,0,0,2.0316232164746784,False,False
0,3,1,-0.08613809053381898,0,0,-0.7961266098800887,True,False
0,3,1,1.0742145458796342,0,1,-0.7641678448863893,False,True
1,3,0,-0.08613809053381898,0,0,-0.7961266098800887,True,False
0,2,0,-0.41766741522337697,0,0,-0.5396553224803311,False,True
0,3,1,-0.08613809053381898,0,0,-0.7106361807468361,False,True
0,3,1,-0.08613809053381898,8,2,2.0316232164746784,False,True
0,3,1,0.4111558965005181,0,0,-0.857396379148046,False,True
0,3,1,1.3643027049829974,0,0,-0.8217737386200645,False,False
1,3,1,-0.9149614022577139,0,0,-0.7814711077429596,False,True
0,3,0,-2.1996375354297513,0,1,-0.6636164447235472,False,True
0,3,1,0.24539123415573905,1,0,-0.40042805217760563,False,True
1,3,1,-0.251902752878598,0,0,-0.25692626041821737,False,False
1,3,0,-1.080726064602493,0,0,-0.7961266098800887,True,False
1,1,1,0.9084498835348551,0,0,0.33967480574740905,False,False
0,3,1,-0.41766741522337697,0,0,-0.8303227815333897,False,True
